service;species;value;reliability;cultural_condition
nitrogen_provision;Centaurea phrygia subsp. pseudophrygia;0.5512486100196838;22.22222137451172;natural
storage_and_return_water;Oplismenus hirtellus;0.023220453411340714;16.66666603088379;natural
storage_and_return_water;Hydrocotyle novae-zelandiae;0.016084356233477592;16.66666603088379;natural
nitrogen_provision;Parochetus communis;1;11.11111068725586;natural
nitrogen_provision;Psychotria biaristata;0.4646802544593811;33.33333206176758;natural
soil_structuration;Artemisia cana;0.06111238896846771;11.11111068725586;natural
storage_and_return_water;Ocimum basilicum;0.044483672827482224;16.66666603088379;natural
nitrogen_provision;Onobrychis arenaria;0.4431065320968628;22.22222137451172;natural
nitrogen_provision;Eriophorum angustifolium subsp. triste;0.302143931388855;33.33333206176758;natural
nitrogen_provision;Symphyotrichum ascendens;0.5569576621055603;55.55555725097656;natural
nitrogen_provision;Lunaria annua;0.5014271140098572;22.22222137451172;natural
nitrogen_provision;Helianthemum oelandicum subsp. italicum;0.6237480640411377;33.33333206176758;natural
storage_and_return_water;Potentilla multifida;0.05855723097920418;16.66666603088379;natural
nitrogen_provision;Hypochaeris ciliata;0.02035832405090332;11.11111068725586;natural
storage_and_return_water;Anemone obtusiloba;0.020182255655527115;16.66666603088379;natural
nitrogen_provision;Elymus riparius;0.47889140248298645;55.55555725097656;natural
nitrogen_provision;Campanula punctata;0;11.11111068725586;natural
nitrogen_provision;Clitoria javitensis;0.7044233083724976;33.33333206176758;natural
nitrogen_provision;Lupinus hirsutissimus;1;11.11111068725586;natural
nitrogen_provision;Symphyotrichum falcatum;0.5608218908309937;55.55555725097656;natural
storage_and_return_water;Vitis heyneana subsp. ficifolia;0.21236637234687805;16.66666603088379;natural
storage_and_return_water;Zostera marina;0.02391069382429123;16.66666603088379;natural
storage_and_return_water;Sanguisorba minor;0.21818310022354126;66.66666412353516;natural
nitrogen_provision;Neobouteloua lophostachya;0.2253866344690323;33.33333206176758;natural
nitrogen_provision;Chamaecrista biensis;1;11.11111068725586;natural
soil_structuration;Rumex acetosa;0.34525030851364136;55.55555725097656;natural
nitrogen_provision;Thesium bavarum;0.5961633324623108;33.33333206176758;natural
nitrogen_provision;Teesdalia nudicaulis;0.4375721216201782;44.44444274902344;natural
soil_structuration;Alloteropsis semialata;0.49530598521232605;55.55555725097656;natural
storage_and_return_water;Minuartia meyeri;0.020647400990128517;16.66666603088379;natural
storage_and_return_water;Helianthus hirsutus;0.05456368997693062;16.66666603088379;natural
storage_and_return_water;Phlomis herba-venti;0.007403302472084761;16.66666603088379;natural
storage_and_return_water;Colutea buhsei;0.01315485592931509;16.66666603088379;natural
soil_structuration;Minuartia circassica;0.038372743874788284;11.11111068725586;natural
storage_and_return_water;Hirtella gracilipes;0.017540207132697105;16.66666603088379;natural
storage_and_return_water;Cicendia filiformis;0.03843505308032036;16.66666603088379;natural
storage_and_return_water;Nigella damascena;0.03224536031484604;16.66666603088379;natural
storage_and_return_water;Salicornia europaea;0.020300380885601044;16.66666603088379;natural
nitrogen_provision;Anemone virginiana;0.4128111004829407;33.33333206176758;natural
nitrogen_provision;Sauropus glaucus;0.962360680103302;11.11111068725586;natural
storage_and_return_water;Ochthodium aegyptiacum;0.04068417847156525;16.66666603088379;natural
soil_structuration;Pseudocymopterus montanus;0.04005594179034233;11.11111068725586;natural
